               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.016196,            0.016002,           0.0033163,             0.92196,             0.95594,             0.96396,             0.65997,            0.025068,            0.042683,           0.0039469,           0.0085744,           0.0085744,           0.0085744
                  74,            0.014861,            0.015383,           0.0022631,             0.93046,             0.93648,             0.93147,             0.62944,            0.025101,            0.041549,           0.0034997,           0.0085546,           0.0085546,           0.0085546
                  75,            0.015951,            0.016384,           0.0021426,             0.92457,             0.93416,              0.9313,             0.63622,            0.025121,            0.041911,            0.003681,           0.0085348,           0.0085348,           0.0085348
                  76,            0.015207,            0.015462,            0.002196,             0.90551,             0.93085,             0.94075,             0.64069,            0.024894,             0.04233,           0.0037915,            0.008515,            0.008515,            0.008515
                  77,            0.015217,            0.015525,           0.0027422,              0.9275,             0.92882,             0.93735,             0.64438,            0.025064,            0.042943,           0.0038211,           0.0084952,           0.0084952,           0.0084952
                  78,            0.015308,            0.015912,           0.0021756,             0.89815,             0.92814,             0.93843,             0.65401,            0.024808,            0.042708,           0.0038366,           0.0084754,           0.0084754,           0.0084754
                  79,            0.015244,            0.015492,           0.0021369,              0.8992,             0.94208,             0.94099,             0.66859,            0.024742,            0.042778,           0.0036061,           0.0084556,           0.0084556,           0.0084556
                  80,            0.016044,            0.016482,           0.0022411,              0.8964,             0.96558,             0.96092,             0.65796,            0.024986,            0.041825,           0.0037674,           0.0084358,           0.0084358,           0.0084358
                  81,            0.015329,            0.015799,           0.0022868,             0.93217,             0.92871,             0.93178,             0.66045,            0.024697,            0.043652,           0.0037218,            0.008416,            0.008416,            0.008416
                  82,            0.015386,            0.015221,           0.0020752,             0.90785,             0.91646,             0.92764,             0.64561,            0.025526,            0.045291,           0.0036495,           0.0083962,           0.0083962,           0.0083962
                  83,            0.015571,            0.015996,           0.0021302,             0.90338,             0.92472,             0.94667,             0.66183,            0.025084,              0.0425,           0.0038223,           0.0083764,           0.0083764,           0.0083764
                  84,            0.015002,            0.015889,             0.00213,             0.92131,             0.93386,             0.95288,             0.66484,            0.024976,            0.041211,           0.0035064,           0.0083566,           0.0083566,           0.0083566
                  85,            0.015566,            0.016113,           0.0022098,             0.91917,             0.94243,             0.95235,             0.66919,            0.024786,            0.044056,           0.0032747,           0.0083368,           0.0083368,           0.0083368
